epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,688.585,0.93278,1.07879,0.97135,0.68588,0.56416,0.65906,0.51045,0.87537,1.53872,0.86519,0.00643101,0.00643101,0.00643101
43,704.91,0.90892,0.97117,0.98444,0.63567,0.59486,0.64077,0.50121,0.85847,1.57454,0.86645,0.00628101,0.00628101,0.00628101
44,721.197,0.88359,0.83869,0.94101,0.65128,0.63856,0.64244,0.48846,1.02283,1.53919,0.89559,0.00612981,0.00612981,0.00612981
45,737.466,0.93474,0.8903,0.93978,0.73896,0.65993,0.68226,0.50831,0.97907,1.42532,0.87987,0.00597754,0.00597754,0.00597754
46,753.717,0.89247,0.90899,1.00385,0.77802,0.60844,0.70468,0.52132,1.00295,1.44702,0.88735,0.00582435,0.00582435,0.00582435
47,770.008,0.86788,0.85501,0.92695,0.73577,0.61221,0.69829,0.53319,0.88139,1.42865,0.86463,0.0056704,0.0056704,0.0056704
48,786.291,0.73409,0.72512,0.82765,0.65095,0.62012,0.69165,0.52126,0.92689,1.41858,0.88019,0.00551584,0.00551584,0.00551584
49,802.55,0.77158,0.7482,0.89458,0.67748,0.64476,0.71107,0.55842,0.87944,1.38373,0.86166,0.00536081,0.00536081,0.00536081
50,818.832,0.86311,0.80738,0.90873,0.64419,0.6574,0.72033,0.52917,1.03191,1.33075,0.89382,0.00520548,0.00520548,0.00520548
51,835.135,0.83438,0.7934,0.93137,0.71224,0.66001,0.74063,0.5549,0.89874,1.30783,0.87898,0.00505,0.00505,0.00505
52,851.364,0.80762,0.72823,0.87426,0.6987,0.62315,0.71303,0.53493,0.94709,1.4149,0.87893,0.00489452,0.00489452,0.00489452
53,867.622,0.82715,0.72672,0.91757,0.67209,0.69293,0.79066,0.6002,0.92213,1.32774,0.87464,0.00473919,0.00473919,0.00473919
